time,supercategory,category,subcategory,segment,manufacturer,product,sales,tdp,upc
CY,"CANDY,_GUM,_MINTS",CONFECTION,MULTI_SERVE,NONCHOCOLATE_BAR,THE_HERSHEY_CO,FREE OF GLUTEN ,57148322,145.9,12
CY,"CANDY,_GUM,_MINTS",CONFECTION,MULTI_SERVE,NONCHOCOLATE_BAR,THE_HERSHEY_CO,FREE FROM GLUTEN ,57148322,145.9,12
CY,"CANDY,_GUM,_MINTS",CONFECTION,MULTI_SERVE,NONCHOCOLATE_BAR,THE_HERSHEY_CO,FREE FROM ARTIFICIAL FLAVORS ,57148288,145.9,13
CY,"CANDY,_GUM,_MINTS",CONFECTION,MULTI_SERVE,NONCHOCOLATE_BAR,THE_HERSHEY_CO,FREE FROM SOY ,57148282,145.9,11
CY,"CANDY,_GUM,_MINTS",CONFECTION,SINGLE_SERVE,HARD_CANDY,FERRARA_CANDY_COMPANY_INC,FAT FREE ,97240475,145.8,37
CY,"CANDY,_GUM,_MINTS",CONFECTION,SINGLE_SERVE,HARD_CANDY,FERRARA_CANDY_COMPANY_INC,0G TOTAL FAT PER SERVING ,97240475,145.8,37
CY,"CANDY,_GUM,_MINTS",CONFECTION,SINGLE_SERVE,HARD_CANDY,FERRARA_CANDY_COMPANY_INC,CONTAINS ADDED SUGAR ,97240038,145.8,31
CY,"CANDY,_GUM,_MINTS",CHOCOLATE,MULTI_SERVE,MILK_CHOCOLATE,TOOTSIE_ROLL_INDUSTRIES_INC,CONTAINS NATURAL FLAVORS ,51991095,145.7,34
CY,"CANDY,_GUM,_MINTS",CONFECTION,MULTI_SERVE,GUMMI,FRANKFORD_CANDY_LLC,FREE FROM DAIRY ,38479215,145.7,72
LY,"CANDY,_GUM,_MINTS",MINTS,REGULAR,FRUIT_MINT_BLEND,FERRERO_S.P.A,KOSHER ,63601918,145.6,9
CY,"CANDY,_GUM,_MINTS",CHOCOLATE,SINGLE_SERVE,DARK_CHOCOLATE,MONDELEZ_INTERNATIONAL_INC,LOW LIKELIHOOD OF GMO INGREDIENTS ,44766240,145.6,20
CY,"CANDY,_GUM,_MINTS",CHOCOLATE,SINGLE_SERVE,DARK_CHOCOLATE,MONDELEZ_INTERNATIONAL_INC,NON GMO ,44766240,145.6,20
